longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,rooms_per_household,bedrooms_per_room,population_per_household,longitude_bin,ocean_<1H OCEAN,ocean_INLAND,ocean_ISLAND,ocean_NEAR BAY,ocean_NEAR OCEAN
-1.3278352216308462,1.0525482830366881,0.9821426581785077,-0.8048190966246049,-0.9724764790070289,-0.974428597176841,-0.9770328537634586,2.3447657583017163,452600.0,NEAR BAY,0.6285594533305325,-1.0299878326600307,-0.04959653614560169,2,False,False,False,True,False
-1.3228439144608317,1.0431845516456963,-0.6070189133741593,2.045890099248613,1.357143430032187,0.8614388682720691,1.6699610275640624,2.3322379635373314,358500.0,NEAR BAY,0.32704135754480507,-0.888897203367614,-0.09251223020604676,2,False,False,False,True,False
-1.3328265288008536,1.0385026859502022,1.8561815225324745,-0.5357458858226144,-0.8270242636013051,-0.8207773518723147,-0.8436369170562416,1.7826994032844994,352100.0,NEAR BAY,1.1556204656817255,-1.2916856603170461,-0.025842527794874767,2,False,False,False,True,False
-1.3378178359708683,1.0385026859502022,1.8561815225324745,-0.6242145905667101,-0.7197234489577383,-0.766028057568403,-0.7337814397679453,0.9329675088245888,341300.0,NEAR BAY,0.1569660820761381,-0.44961280368178236,-0.050329301225959765,2,False,False,False,True,False
-1.3378178359708683,1.0385026859502022,1.8561815225324745,-0.4624039544285455,-0.6124226343141715,-0.7598466856308645,-0.6291571756838535,-0.012880995886439435,342200.0,NEAR BAY,0.3447107993516698,-0.6390865735120892,-0.08561575927708796,2,False,False,False,True,False
-1.3378178359708683,1.0385026859502022,1.8561815225324745,-0.7869420008473006,-0.7721816250057043,-0.8940707619888416,-0.8017872114226049,0.08744663781489194,269700.0,NEAR BAY,-0.26972965928675957,0.27556334223291956,-0.08961841834804066,2,False,False,False,True,False
-1.3378178359708683,1.033820820254708,1.8561815225324745,-0.046188493767204096,-0.11406996185849487,-0.292711577779747,0.037822507852231305,-0.11136630682830236,299200.0,NEAR BAY,-0.2009176972725172,-0.320241905288553,-0.0907249008582453,2,False,False,False,True,False
-1.3378178359708683,1.033820820254708,1.8561815225324745,0.21463374975295366,0.35805362257319884,-0.2370792303419012,0.38569818593183636,-0.39513664957954914,241400.0,NEAR BAY,-0.25523193267039723,0.11545768815478963,-0.12347647112857443,2,False,False,False,True,False
-1.3428091431408828,1.033820820254708,1.0616007367561409,-0.03702075234294548,0.30559544652523285,-0.1938096267791323,0.24968664262251708,-0.9423591469347639,226700.0,NEAR BAY,-0.45870257434508765,0.7123724844420124,-0.10049920162528049,2,False,False,False,True,False
-1.3378178359708683,1.033820820254708,1.8561815225324745,0.41861599644270797,0.40574287352589516,0.1108437044281183,0.56094382827269,-0.0944695752343217,261100.0,NEAR BAY,-0.18528315780534899,-0.22350677477802203,-0.08650141812972065,2,False,False,False,True,False
